1,T27G53C93,"GL-SFL serie","Fondo Sur",off
2,B28K61V46,HS-HM600W-A,"Fondo Norte",off
3,F99C65X41,Arenapro,"Grada Este",on
4,J12F67N45,HS-HM600W-A,"Grada Oeste",off
5,N52U60D45,"GL-SFL serie","Fondo Norte",on
6,H38F87L81,Arenapro,"Grada Oeste",on
7,C58T44L58,"GL-SFL serie","Fondo Sur",off
8,T51S43A59,HS-HM600W-A,"Grada Este",on
9,U39R34K71,HS-HM600W-A,"Fondo Sur",on
10,T51S18P58,"GL-SFL serie","Fondo Norte",on
11,M24E12V60,Arenapro,"Fondo Sur",off
12,X56I19D88,Arenapro,"Fondo Norte",on
13,K34Y58O34,HS-HM600W-A,"Fondo Norte",off
14,K23F17K32,"GL-SFL serie","Grada Este",off
15,C62O28F63,HS-HM600W-A,"Grada Este",on
16,G78J41T62,"GL-SFL serie","Grada Oeste",off
17,K26G50O25,HS-HM600W-A,"Fondo Sur",off
18,U57K42I88,HS-HM600W-A,"Grada Oeste",on
19,M88G83I01,"GL-SFL serie","Fondo Sur",on
20,D49Z48C63,"GL-SFL serie","Grada Este",off
21,T23X55T38,Arenapro,"Fondo Norte",off
22,W87U76S22,"GL-SFL serie","Grada Oeste",on
23,R53W46M15,HS-HM600W-A,"Fondo Sur",on
24,U09F43Q88,HS-HM600W-A,"Grada Oeste",on
25,F15M30O68,"GL-SFL serie","Fondo Sur",off
26,K65W55C92,Arenapro,"Fondo Sur",on
27,L15E31N26,"GL-SFL serie","Fondo Sur",off
28,H40W13L33,"GL-SFL serie","Fondo Norte",off
29,Y71X61C14,"GL-SFL serie","Fondo Norte",on
30,C45N76I65,Arenapro,"Fondo Norte",off
31,S89H44R17,Arenapro,"Grada Oeste",off
32,Y78H53E37,HS-HM600W-A,"Fondo Norte",on
33,C98Z28O30,HS-HM600W-A,"Grada Este",off
34,B69D78P78,"GL-SFL serie","Fondo Sur",on
35,F51L43G15,"GL-SFL serie","Fondo Norte",on
36,N59O84D22,Arenapro,"Grada Oeste",off
37,Q58L92E70,HS-HM600W-A,"Fondo Norte",off
38,X14X27R68,Arenapro,"Grada Este",on
39,L06C76A46,Arenapro,"Fondo Sur",off
40,D41C21E36,HS-HM600W-A,"Grada Oeste",on
41,M44J37G72,"GL-SFL serie","Fondo Sur",off
42,E32R18F45,HS-HM600W-A,"Fondo Norte",on
43,W39J76H15,HS-HM600W-A,"Grada Este",on
44,W35J14L18,HS-HM600W-A,"Fondo Norte",off
45,K30F37V89,Arenapro,"Grada Este",on
46,U24W71N54,Arenapro,"Grada Oeste",on
47,D22C68V46,Arenapro,"Grada Oeste",on
48,T67R58E62,"GL-SFL serie","Grada Este",on
49,I62V16P56,Arenapro,"Fondo Norte",off
50,R50T13E22,"GL-SFL serie","Grada Este",on
51,D73P95E68,HS-HM600W-A,"Fondo Norte",on
52,P89L45V43,HS-HM600W-A,"Fondo Sur",on
53,H23Q34H18,HS-HM600W-A,"Fondo Sur",on
54,E85Y64S57,HS-HM600W-A,"Fondo Norte",on
55,I86F93L22,Arenapro,"Fondo Norte",on
56,P43Q77W36,HS-HM600W-A,"Grada Oeste",off
57,W17Z26R84,"GL-SFL serie","Fondo Norte",off
58,S67J97L45,"GL-SFL serie","Fondo Sur",on
59,J52B53T05,HS-HM600W-A,"Fondo Sur",off
60,K46D75N47,"GL-SFL serie","Fondo Norte",off
61,W21P20T93,HS-HM600W-A,"Fondo Norte",off
62,D98S25V61,"GL-SFL serie","Fondo Sur",on
63,R97H14G10,Arenapro,"Grada Oeste",on
64,N26X66U73,Arenapro,"Fondo Norte",off
65,M25T36L31,"GL-SFL serie","Grada Este",off
66,K17N17Z15,"GL-SFL serie","Grada Oeste",on
67,P83P83F54,Arenapro,"Grada Este",on
68,M30O84E34,"GL-SFL serie","Fondo Sur",on
69,M11W70R71,HS-HM600W-A,"Fondo Norte",on
70,I63T22X52,"GL-SFL serie","Fondo Sur",off
71,D28R85X15,Arenapro,"Fondo Norte",off
72,G71H97W58,"GL-SFL serie","Fondo Norte",off
73,E67N18T23,HS-HM600W-A,"Fondo Sur",off
74,C59O80R48,"GL-SFL serie","Fondo Norte",off
75,Q86P88O81,Arenapro,"Grada Oeste",on
76,P85P56T04,Arenapro,"Fondo Norte",off
77,C59K65B51,HS-HM600W-A,"Grada Oeste",off
78,G32P27K81,Arenapro,"Grada Este",on
79,N25Q09F99,Arenapro,"Grada Este",off
80,I86M53F77,"GL-SFL serie","Grada Oeste",on
81,I69Y72V84,"GL-SFL serie","Grada Oeste",off
82,Y88O85I87,HS-HM600W-A,"Grada Este",on
83,Q84R56R68,"GL-SFL serie","Grada Este",on
84,S54Y23C84,"GL-SFL serie","Fondo Sur",off
85,G48D27X13,Arenapro,"Fondo Sur",off
86,W29O39O91,HS-HM600W-A,"Fondo Norte",off
87,U73Z40J94,Arenapro,"Fondo Norte",on
88,Z44V78M68,HS-HM600W-A,"Fondo Norte",on
89,Y23F66W12,HS-HM600W-A,"Fondo Norte",off
90,P24C32T80,"GL-SFL serie","Fondo Norte",off
91,D18W71Y41,HS-HM600W-A,"Fondo Sur",off
92,K36E52H17,Arenapro,"Fondo Sur",off
93,E31T32I12,"GL-SFL serie","Fondo Sur",off
94,X61O72H47,Arenapro,"Fondo Norte",on
95,O88J72Y38,"GL-SFL serie","Fondo Norte",on
